Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
TUBA1A,616508.683,151241.1224,387734.9047,487458.4902,69527.64139,13670.53457
ACTB,264011.5579,493434.8925,239261.8114,210143.3252,330026.4927,292957.6668
ACTG1,253521.1335,392742.5512,195667.647,185479.4597,270225.4969,166403.4448
EEF1A1,233755.7212,435242.5924,236185.5166,165883.0016,509114.3964,332155.3901
CRABP1,229107.5671,40400.4369,131106.4721,141426.6334,4273.361239,4064.81896
RNR2,211559.2109,165121.2308,147465.0155,143216.1868,173447.3877,596808.1166
NEFM,197284.6435,21829.43871,81759.92312,163851.62,1416.493494,2187.271412
TUBB3,187889.5685,36522.8597,125570.301,142571.6019,7188.663816,7717.791641
MAP1B,187285.5985,62494.72059,137204.2813,199597.3954,28218.69747,19744.99406
NEFL,180400.45,22728.56472,60413.23895,131514.7576,623.6028496,1874.081519
STMN2,153235.5626,24856.3747,100489.014,134200.7122,5058.293405,241.0584397
EIF4G2,130218.7131,87133.5223,94544.93419,116615.7263,68266.8763,66536.18346
EEF2,126773.2122,143082.4232,105116.1516,81858.61783,147498.3376,149857.1505
DPYSL3,126091.1363,29898.92152,97189.88513,113954.6088,23529.03577,30682.40377
GNAS,120091.8819,85572.54093,113079.3519,115839.0159,52460.67721,38538.4821
INA,113293.8673,16722.02612,76426.95621,105500.6105,2516.408545,833.4239241
DCX,98992.13977,12272.33624,64120.8102,103219.4125,136.6211266,224.2484497
ADAM11,96784.53863,10117.63215,5209.517665,4168.824229,580.7179813,208.1678858
TMSB4X,96015.13854,101947.692,75842.47196,82608.26809,54496.26834,22034.34802
GAPDH,92920.95108,98016.12265,78233.78027,77568.04985,91905.54077,171955.3258
ISLR2,83012.61677,10018.31834,54808.41243,78158.56467,23.30042087,2.954378286
DYNC1H1,81004.94467,34654.96516,59492.48756,84174.81518,26630.67788,26325.42443
HSP90AA1,77558.77915,74325.81296,65596.23465,73222.90957,53693.32906,104728.3864
KIF1A,72053.22757,40091.69631,62401.57087,85209.48169,22881.8669,17395.37946
TMSB10,71334.47306,55864.4606,49092.0982,59061.3258,34837.98008,6613.141142
STMN1,70501.07408,27199.58021,62814.57972,74791.64281,20366.63288,22201.71284
C14orf132,69263.98881,7264.886171,25003.80039,25929.65017,1512.683878,2134.328403
YWHAZ,67760.20896,61256.71446,56403.25457,58268.03034,46462.2858,37672.72831
