Gene,log2FC,p-value
SNCG,8.958011795,9.19E-212
P2RX3,11.45417292,4.08E-203
THUMPD3,-5.587493112,1.53E-194
CNTN1,11.85162517,6.61E-170
CCND1,-7.69152221,1.11E-167
CPLX2,10.02661125,1.60E-166
RGS5,-5.923317028,3.64E-149
TLE1,3.468526489,4.42E-143
VASH2,3.465056039,7.19E-143
ONECUT3,12.46457907,1.84E-142
EPB41L3,7.112990549,1.41E-141
NTRK1,11.24544209,1.73E-139
NHLH1,10.19225179,1.71E-137
SYT4,12.76951672,8.72E-134
EBF3,9.369333907,1.61E-129
ASIC4,9.984172988,4.40E-129
RUNDC3A,8.520295326,5.65E-128
LAMA1,-5.610546521,1.39E-123
THBS1,-6.265532826,7.79E-122
GPRIN3,9.697465411,9.15E-120
DCC,5.213667013,1.40E-119
CHRNA3,7.410877403,6.78E-119
CNR1,10.46164717,1.21E-118
EBF2,12.69981609,1.44E-118
TAGLN3,5.56813746,1.53E-118
ADAMTS12,-6.132736677,1.31E-117
THSD7B,9.241806681,2.26E-117
PRPH,8.284192303,5.51E-117
ISL1,13.24287008,1.68E-116
AXL,-8.75463195,3.19E-115
ADAM11,7.28562588,1.96E-113
GFRA2,6.486022249,1.57E-112
SLC18A3,9.734275739,2.06E-110
PRSS12,6.207967007,4.05E-109
ARAP3,-4.596706858,4.34E-109
POU4F1,10.9002269,1.24E-108
RGS10,5.842852135,2.89E-107
EYA1,5.74498226,5.13E-107
DRD2,10.051764,1.23E-105
TMEM132E,10.76967072,3.05E-105
LATS2,-3.831040106,4.53E-105
ATP8A1,6.079319157,2.76E-104
ICA1,4.748023686,3.00E-104
ATP1A3,7.618537305,3.51E-104
ELAVL2,4.88993042,2.51E-103
SEZ6L,8.8147479,2.53E-103
NTNG2,7.918566108,1.42E-102
FRMPD3,8.239878415,5.81E-102
DRGX,12.17311292,1.03E-101
KCNA2,10.61829782,2.28E-100
ELAVL4,9.903689498,3.30E-100
EPB41L4A-DT,5.308836859,3.64E-100
SKOR1,6.891697436,7.88E-100
AKR1C1,5.739621515,8.62E-100
S1PR3,-6.574107227,4.40E-99
LRP4,-5.256658889,4.53E-99
HMGA2,-6.926124851,5.85E-99
PRDM14,5.545270674,1.07E-98
NEFL,8.030992864,2.89E-97
ELAVL3,8.007611382,4.51E-97
LOC283731,11.07816429,6.81E-97
RTN1,6.659900798,8.39E-97
AHNAK,-8.730086749,1.16E-96
HSPG2,-7.161255936,1.25E-96
ONECUT2,9.666584236,1.23E-95
LOXL2,-6.493279705,1.96E-95
ZFP36L1,-8.110884671,1.11E-94
SYN2,3.467387796,2.47E-94
PLCL1,8.710978963,4.73E-94
BOC,-6.150434291,4.86E-94
MANEAL,6.820011674,7.07E-94
SLC10A7,3.444125277,1.75E-93
SYP,8.279354216,2.08E-93
RPH3A,9.479991671,1.66E-92
DISP2,7.899701714,1.72E-92
GRM2,6.351870246,3.48E-92
ANXA3,-6.868306776,4.94E-92
AMER2,7.971382248,1.18E-91
FNDC5,5.66544271,1.77E-91
CORO2A,4.044432635,2.10E-91
ITPKB,-7.926382209,1.44E-90
POU4F3,10.07638007,2.53E-90
NOTCH3,-6.030752264,1.09E-89
NRN1,7.885677489,1.57E-89
ARHGAP22,7.489584129,2.27E-89
NID1,-7.27807601,5.06E-89
RHOXF1-AS1,-8.394772591,3.53E-88
RHBDL3,8.995828855,3.98E-88
POU4F2,14.23536388,4.76E-88
SERPINI1,3.566032339,6.85E-88
LAMB2,-5.740223516,1.19E-87
DCX,9.246866068,3.23E-87
RASSF5,6.27851557,4.40E-87
SLC35F3,5.176264441,5.47E-87
GOLGA7B,7.226339709,1.12E-86
CDH6,-6.523044212,1.43E-86
RUNX1T1,7.53935351,1.57E-86
HS3ST2,8.625679348,7.07E-86
MGAT4A,5.286133863,9.27E-86
PALLD,-4.272119179,2.63E-85
CDV3,-1.895422117,3.32E-85
ATOH7,7.197952952,6.33E-85
SDK1,5.306507843,5.61E-84
S1PR2,-2.993752242,7.19E-84
