"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"1","BUB1",-6.899318193,4.05e-301,4.05e-301,-6.899318193,"BUB1","Down"
"2","BAALC",5.641445384,1.6e-298,1.6e-298,5.641445384,"BAALC","Up"
"3","TMX4",3.293189673,2.25e-295,2.25e-295,3.293189673,"TMX4","Up"
"4","EIF4B",-1.974783005,2.32e-295,2.32e-295,-1.974783005,"EIF4B","Down"
"5","CADPS",4.996523786,3.99e-294,3.99e-294,4.996523786,"CADPS","Up"
"6","SLIT1",7.790582425,2.31e-293,2.31e-293,7.790582425,"SLIT1","Up"
"7","VAMP2",4.681046151,4.42e-292,4.42e-292,4.681046151,"VAMP2","Up"
"8","ANP32E",-3.553734251,4.62e-292,4.62e-292,-3.553734251,"ANP32E","Down"
"9","DBF4",-3.13770345,5.78e-292,5.78e-292,-3.13770345,"DBF4","Down"
"10","PITPNM2",4.391245267,1.52e-291,1.52e-291,4.391245267,"PITPNM2","Up"
"11","RALGDS",3.163573294,1.78e-290,1.78e-290,3.163573294,"RALGDS","Up"
"12","HMGN3",-3.013148766,2.24e-285,2.24e-285,-3.013148766,"HMGN3","Down"
"13","YBX3",-6.026011117,2.1e-281,2.1e-281,-6.026011117,"YBX3","Down"
"14","PKP2",-2.815036366,2.36e-281,2.36e-281,-2.815036366,"PKP2","Down"
"15","ECT2",-4.040297122,3.7e-281,3.7e-281,-4.040297122,"ECT2","Down"
"16","ETV1",-5.567131708,8.7e-280,8.7e-280,-5.567131708,"ETV1","Down"
"17","CD2AP",-4.401842822,6.3e-279,6.3e-279,-4.401842822,"CD2AP","Down"
"18","NCAPG2",-3.160888409,1.77e-276,1.77e-276,-3.160888409,"NCAPG2","Down"
"19","RTN1",8.565229158,3.87e-276,3.87e-276,8.565229158,"RTN1","Up"
"20","SNAP91",8.175199114,1.65e-273,1.65e-273,8.175199114,"SNAP91","Up"
"21","TMEM163",5.869192098,3.21e-272,3.21e-272,5.869192098,"TMEM163","Up"
"22","IMPDH2",-3.049188688,1.21e-270,1.21e-270,-3.049188688,"IMPDH2","Down"
"23","ST3GAL1",3.482128021,2.96e-270,2.96e-270,3.482128021,"ST3GAL1","Up"
"24","DPYSL4",3.740440191,1.42e-268,1.42e-268,3.740440191,"DPYSL4","Up"
"25","SLC7A8",-4.142708861,2.64e-264,2.64e-264,-4.142708861,"SLC7A8","Down"
"26","HID1",3.880994679,3.38e-263,3.38e-263,3.880994679,"HID1","Up"
"27","CNTN1",4.800335721,2.31e-261,2.31e-261,4.800335721,"CNTN1","Up"
"28","NECAP1",3.222921795,2.88e-261,2.88e-261,3.222921795,"NECAP1","Up"
"29","ASIC1",4.762435502,2.19e-260,2.19e-260,4.762435502,"ASIC1","Up"
"30","APC2",8.685529178,2.51e-260,2.51e-260,8.685529178,"APC2","Up"
"31","HSDL1",2.087715606,1.8e-257,1.8e-257,2.087715606,"HSDL1","Up"
"32","DNA2",-3.909876104,4.24e-257,4.24e-257,-3.909876104,"DNA2","Down"
"33","SEZ6L2",3.165665439,2.74e-256,2.74e-256,3.165665439,"SEZ6L2","Up"
"34","GPR153",4.66129156,7.89e-256,7.89e-256,4.66129156,"GPR153","Up"
"35","CD200",2.368498256,1.66e-253,1.66e-253,2.368498256,"CD200","Up"
"36","MIS18A",-2.919560015,2.38e-251,2.38e-251,-2.919560015,"MIS18A","Down"
"37","AMMECR1",-3.722781428,5.08e-251,5.08e-251,-3.722781428,"AMMECR1","Down"
"38","DCX",8.909880177,1.7e-250,1.7e-250,8.909880177,"DCX","Up"
"39","TRO",2.248169968,3.55e-249,3.55e-249,2.248169968,"TRO","Up"
"40","MPP3",4.645909373,5.2e-248,5.2e-248,4.645909373,"MPP3","Up"
