Gene,logFC,FDR
BUB1,-6.899318193,4.05E-301
BAALC,5.641445384,1.60E-298
TMX4,3.293189673,2.25E-295
EIF4B,-1.974783005,2.32E-295
CADPS,4.996523786,3.99E-294
SLIT1,7.790582425,2.31E-293
VAMP2,4.681046151,4.42E-292
ANP32E,-3.553734251,4.62E-292
DBF4,-3.13770345,5.78E-292
PITPNM2,4.391245267,1.52E-291
RALGDS,3.163573294,1.78E-290
HMGN3,-3.013148766,2.24E-285
YBX3,-6.026011117,2.10E-281
PKP2,-2.815036366,2.36E-281
ECT2,-4.040297122,3.70E-281
ETV1,-5.567131708,8.70E-280
CD2AP,-4.401842822,6.30E-279
NCAPG2,-3.160888409,1.77E-276
RTN1,8.565229158,3.87E-276
SNAP91,8.175199114,1.65E-273
TMEM163,5.869192098,3.21E-272
IMPDH2,-3.049188688,1.21E-270
ST3GAL1,3.482128021,2.96E-270
DPYSL4,3.740440191,1.42E-268
SLC7A8,-4.142708861,2.64E-264
HID1,3.880994679,3.38E-263
CNTN1,4.800335721,2.31E-261
NECAP1,3.222921795,2.88E-261
ASIC1,4.762435502,2.19E-260
APC2,8.685529178,2.51E-260
HSDL1,2.087715606,1.80E-257
DNA2,-3.909876104,4.24E-257
SEZ6L2,3.165665439,2.74E-256
GPR153,4.66129156,7.89E-256
CD200,2.368498256,1.66E-253
MIS18A,-2.919560015,2.38E-251
AMMECR1,-3.722781428,5.08E-251
DCX,8.909880177,1.70E-250
TRO,2.248169968,3.55E-249
MPP3,4.645909373,5.20E-248
SEMA6D,5.260216689,7.41E-248
SEMA6C,3.612594625,1.16E-247
DUSP4,3.937119643,2.40E-247
KIF11,-5.365975276,1.45E-246
STK26,-5.079836957,3.28E-246
CAMTA2,3.479930451,3.66E-246
ARMT1,-2.627156944,1.22E-245
DEPDC1B,-5.213040936,6.99E-245
DIAPH2,-5.691631939,4.57E-244
CDCA8,-4.870019892,7.64E-244
ADAMTS1,-5.258207636,1.45E-241
KIF5C,4.184254881,9.20E-239
C19orf12,2.546038943,2.59E-237
CTNND2,3.89323783,6.34E-237
DESI2,-2.196353864,1.04E-236
PPFIA3,2.848644973,1.21E-236
ARRB1,3.563954804,3.55E-236
TGIF1,-7.438084907,1.73E-233
OLFML3,-7.441451734,1.23E-230
USP44,-6.122542699,3.85E-230
AURKA,-5.049764666,7.05E-230
RIPOR1,5.182851582,6.04E-229
B3GNT7,-6.666208315,1.14E-228
RCAN1,3.692424208,1.91E-226
TOM1L2,4.94975628,2.51E-226
ATL1,3.311694854,7.74E-226
FLT1,-10.11653089,1.04E-224
GNAZ,3.168922349,4.13E-224
MAP7,-5.100702824,5.54E-224
CYP2S1,-6.352811746,3.64E-223
ASTN2,3.001002553,7.25E-223
CDYL,-3.344312047,7.83E-223
SYT4,6.920358045,1.09E-222
HPCAL1,5.056781449,1.27E-220
GAB2,3.702740958,3.36E-220
ELAVL3,8.574728279,1.13E-219
SEMA4F,3.9162521,1.15E-219
RAD51AP1,-6.258467712,1.88E-219
EARS2,-2.345962972,7.93E-219
RAB9B,5.541036691,2.05E-217
MASTL,-2.779878647,2.63E-217
CALCOCO1,3.696662362,1.29E-216
CTNNA2,4.907010084,1.11E-215
LINC00667,2.528762973,1.27E-214
CCNB1,-4.73785412,4.09E-214
MAPK4,3.283068602,1.89E-211
DNER,5.023594364,1.19E-210
CDC6,-5.932185731,2.31E-210
SMIM10L2A,4.390835026,3.37E-210
NASP,-2.994122448,3.53E-207
DENND2A,2.982036242,4.60E-207
EBF3,9.808869281,1.90E-204
NUP37,-3.80615218,2.10E-204
PARPBP,-4.576323996,2.77E-204
DCLK2,7.311023847,5.13E-203
ELAVL4,8.952195257,7.07E-203
RUSC2,4.723088793,3.82E-202
REEP1,7.64926052,4.63E-202
PCNA,-3.572523329,5.63E-202
ACTL6B,7.183540961,2.86E-201
TRIP10,-7.120911687,5.75E-200
TPX2,-5.51231555,6.37E-200
UTP20,-3.8173608,1.84E-199
G3BP1,-2.809544552,9.15E-199
