Gene,PSC_AVG,D6_AVG,D14_AVG,D21_AVG
SCN11A,40.5426601,132.2194797,87.26887289,86.89715872
SCN1A,97.0425881,73.64432113,525.5818196,1113.904806
SCN2B,10.04142436,65.16167079,162.910747,187.1226311
SCN4B,150.726552,51.19229807,18.0697327,16.1041506
SCN5A,744.7259738,116.3311498,216.9130962,79.28919109
KCNA1,2.583381084,135.6048888,69.03979286,77.50130475
KCNA4,0,169.3168447,91.62204215,95.822389
KCNA5,2.066704867,46.48048194,8.847160122,32.78516256
KCNC4,617.586522,899.3093159,1016.958847,1115.010659
KCND3,65.00009554,319.9065556,373.3912389,1393.370705
KCNE3,173.0661818,12.75162091,9.929375366,8.508289386
KCNG1,1191.506845,250.8234577,6.431814918,14.03206951
KCNG2,30.03753537,102.7865385,98.13256705,86.18632588
KCNH3,30.41226733,355.290449,66.28148583,37.3921284
KCNH4,6.488108846,185.4051218,118.5387465,81.88695145
KCNH5,94.38945259,22.01647054,59.02960351,120.4284262
KCNIP3,18.11332372,42.34779019,2.706207288,3.059851251
KCNIP4,8.584469849,205.5434762,154.7042345,116.9444958
KCNQ4,247.3595363,45.62972678,28.32728884,26.81782054
KCNS1,185.5270218,13.49958192,96.50411917,65.24543864
KCNS2,5.39133841,254.2119083,37.81870573,47.40043652
KCNJ12,55.56003225,660.3152398,575.8228567,189.9298858
KCNJ14,95.63283338,83.32844894,73.71201497,93.04078067
KCNJ16,8.087007614,72.05105516,56.3958794,58.05694244
KCNJ3,9.812742388,27.14022502,282.2769207,293.6222033
KCNJ5,2.325042976,28.34095483,15.96400873,7.987538662
KCNJ6,94.29227272,46.66898298,1579.829427,2815.954336
KCNK15,24.01723262,22.09120874,23.65217378,30.33205383
KCNK17,71.58127853,12.45924916,5.326801836,0.350372405
KCNK5,2395.122455,138.9452831,61.5831629,37.62649613
CLCN1,18.68931221,26.13968476,10.92598477,16.63600325
CLCN2,599.132406,324.7553058,574.9775707,537.4014887
CLIC2,14.52624634,51.85288083,46.37087774,46.4477078
CACNA1C,0.516676217,13.01200812,27.44644363,55.30840726
CACNA1D,99.42527302,39.26736682,119.8829303,221.8688076
CACNA1F,44.70777883,12.6942057,16.79864232,14.05651107
CACNA1I,100.7609898,28.27057104,38.08709525,111.052235
CACNA1S,4.90842406,29.57571295,6.199180015,7.715901096
CACNA2D3,204.7184624,78.01725389,524.8735842,850.1409929
CACNB2,472.7799031,110.7701987,180.7455088,312.7527606
CACNG1,2.695669205,20.7537746,12.20992184,7.971749524
CACNG6,35.6803151,52.2924926,3.895430002,9.054746019
HCN1,413.0887079,145.1910305,532.1939022,370.0599533
HCN2,90.47428268,499.8387626,1531.099951,2033.027354
