Gene,NAIP2C1_AVG,NEUROG2_AVG,NA_AVG,CTL_AVG,PSC_AVG
ZIC5,1416.328725,2514.768075,325.8585325,5275.83628,6222.130133
SEMA3A,1223.786725,1439.99535,1379.6704,865.088676,3104.285433
LBX1,20.51960525,4.90989005,0.548625625,0.36063072,0
FEZF1,1780.182825,7561.378775,2752.934825,9001.15142,739.5771967
SEMA3D,470.35866,626.8085945,1244.797775,28.0096534,243.1050767
ZIC3,1438.97185,4281.53785,569.118215,284.462298,4540.060567
EPHA5,2412.2589,250.6067073,318.1151675,3.72956046,7.3648934
NTRK1,15783.63775,6442.9208,5864.46305,5.42100968,4.701460367
NEUROD4,543.6133775,3455.8785,1925.067125,0,4.164300667
NEUROG2,5987.705875,11760.4188,11648.16603,19.40416206,0
ROBO2,25813.51875,14216.90508,25524.07375,420.225896,505.97511
DCX,98992.13875,64120.81,103219.4143,136.6211258,224.2484467
ACTL6B,2012.727625,1793.360373,2263.391825,0.54798276,22.003808
INA,113293.8675,76426.95625,105500.6108,2516.40856,833.4239267
CPLX2,21082.38125,16247.3045,23763.551,18.06087876,100.5457197
NEUROD1,710.1860225,3306.4882,1333.021923,2.7715968,7.041007833
ELAVL3,38221.253,35043.2475,40572.3465,134.496196,83.46782767
INSM1,5948.5346,11412.7389,5406.872,150.9029104,78.77492467
L1CAM,55642.49975,26152.9304,54140.68225,812.440574,1240.389767
ISLR2,83012.61675,54808.41225,78158.56475,23.30042086,2.9543783
NEUROG1,57.91001225,669.8918825,98.12652725,0,0
EPHA4,11212.18337,4204.238669,2401.759539,8437.107746,458.5035215
