"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"1","SNCG",8.958011795,9.19e-212,9.19e-212,8.958011795,"SNCG","Up"
"2","P2RX3",11.45417292,4.08e-203,4.08e-203,11.45417292,"P2RX3","Up"
"3","THUMPD3",-5.587493112,1.53e-194,1.53e-194,-5.587493112,"THUMPD3","Down"
"4","CNTN1",11.85162517,6.61e-170,6.61e-170,11.85162517,"CNTN1","Up"
"5","CCND1",-7.69152221,1.11e-167,1.11e-167,-7.69152221,"CCND1","Down"
"6","CPLX2",10.02661125,1.6e-166,1.6e-166,10.02661125,"CPLX2","Up"
"7","RGS5",-5.923317028,3.64e-149,3.64e-149,-5.923317028,"RGS5","Down"
"8","TLE1",3.468526489,4.42e-143,4.42e-143,3.468526489,"TLE1","Up"
"9","VASH2",3.465056039,7.19e-143,7.19e-143,3.465056039,"VASH2","Up"
"10","ONECUT3",12.46457907,1.84e-142,1.84e-142,12.46457907,"ONECUT3","Up"
"11","EPB41L3",7.112990549,1.41e-141,1.41e-141,7.112990549,"EPB41L3","Up"
"12","NTRK1",11.24544209,1.73e-139,1.73e-139,11.24544209,"NTRK1","Up"
"13","NHLH1",10.19225179,1.71e-137,1.71e-137,10.19225179,"NHLH1","Up"
"14","SYT4",12.76951672,8.72e-134,8.72e-134,12.76951672,"SYT4","Up"
"15","EBF3",9.369333907,1.61e-129,1.61e-129,9.369333907,"EBF3","Up"
"16","ASIC4",9.984172988,4.4e-129,4.4e-129,9.984172988,"ASIC4","Up"
"17","RUNDC3A",8.520295326,5.65e-128,5.65e-128,8.520295326,"RUNDC3A","Up"
"18","LAMA1",-5.610546521,1.39e-123,1.39e-123,-5.610546521,"LAMA1","Down"
"19","THBS1",-6.265532826,7.79e-122,7.79e-122,-6.265532826,"THBS1","Down"
"20","GPRIN3",9.697465411,9.15e-120,9.15e-120,9.697465411,"GPRIN3","Up"
"21","DCC",5.213667013,1.4e-119,1.4e-119,5.213667013,"DCC","Up"
"22","CHRNA3",7.410877403,6.78e-119,6.78e-119,7.410877403,"CHRNA3","Up"
"23","CNR1",10.46164717,1.21e-118,1.21e-118,10.46164717,"CNR1","Up"
"24","EBF2",12.69981609,1.44e-118,1.44e-118,12.69981609,"EBF2","Up"
"25","TAGLN3",5.56813746,1.53e-118,1.53e-118,5.56813746,"TAGLN3","Up"
"26","ADAMTS12",-6.132736677,1.31e-117,1.31e-117,-6.132736677,"ADAMTS12","Down"
"27","THSD7B",9.241806681,2.26e-117,2.26e-117,9.241806681,"THSD7B","Up"
"28","PRPH",8.284192303,5.51e-117,5.51e-117,8.284192303,"PRPH","Up"
"29","ISL1",13.24287008,1.68e-116,1.68e-116,13.24287008,"ISL1","Up"
"30","AXL",-8.75463195,3.19e-115,3.19e-115,-8.75463195,"AXL","Down"
"31","ADAM11",7.28562588,1.96e-113,1.96e-113,7.28562588,"ADAM11","Up"
"32","GFRA2",6.486022249,1.57e-112,1.57e-112,6.486022249,"GFRA2","Up"
"33","SLC18A3",9.734275739,2.06e-110,2.06e-110,9.734275739,"SLC18A3","Up"
"34","PRSS12",6.207967007,4.05e-109,4.05e-109,6.207967007,"PRSS12","Up"
"35","ARAP3",-4.596706858,4.34e-109,4.34e-109,-4.596706858,"ARAP3","Down"
"36","POU4F1",10.9002269,1.24e-108,1.24e-108,10.9002269,"POU4F1","Up"
"37","RGS10",5.842852135,2.89e-107,2.89e-107,5.842852135,"RGS10","Up"
"38","EYA1",5.74498226,5.13e-107,5.13e-107,5.74498226,"EYA1","Up"
"39","DRD2",10.051764,1.23e-105,1.23e-105,10.051764,"DRD2","Up"
"40","TMEM132E",10.76967072,3.05e-105,3.05e-105,10.76967072,"TMEM132E","Up"
"41","LATS2",-3.831040106,4.53e-105,4.53e-105,-3.831040106,"LATS2","Down"
"42","ATP8A1",6.079319157,2.76e-104,2.76e-104,6.079319157,"ATP8A1","Up"
"43","ICA1",4.748023686,3e-104,3e-104,4.748023686,"ICA1","Up"
"44","ATP1A3",7.618537305,3.51e-104,3.51e-104,7.618537305,"ATP1A3","Up"
"45","ELAVL2",4.88993042,2.51e-103,2.51e-103,4.88993042,"ELAVL2","Up"
"46","SEZ6L",8.8147479,2.53e-103,2.53e-103,8.8147479,"SEZ6L","Up"
"47","NTNG2",7.918566108,1.42e-102,1.42e-102,7.918566108,"NTNG2","Up"
"48","FRMPD3",8.239878415,5.81e-102,5.81e-102,8.239878415,"FRMPD3","Up"
"49","DRGX",12.17311292,1.03e-101,1.03e-101,12.17311292,"DRGX","Up"
"50","KCNA2",10.61829782,2.28e-100,2.28e-100,10.61829782,"KCNA2","Up"
"51","ELAVL4",9.903689498,3.3e-100,3.3e-100,9.903689498,"ELAVL4","Up"
"52","EPB41L4A-DT",5.308836859,3.64e-100,3.64e-100,5.308836859,"EPB41L4A-DT","Up"
"53","SKOR1",6.891697436,7.88e-100,7.88e-100,6.891697436,"SKOR1","Up"
"54","AKR1C1",5.739621515,8.62e-100,8.62e-100,5.739621515,"AKR1C1","Up"
"55","S1PR3",-6.574107227,4.4e-99,4.4e-99,-6.574107227,"S1PR3","Down"
"56","LRP4",-5.256658889,4.53e-99,4.53e-99,-5.256658889,"LRP4","Down"
"57","HMGA2",-6.926124851,5.85e-99,5.85e-99,-6.926124851,"HMGA2","Down"
"58","PRDM14",5.545270674,1.07e-98,1.07e-98,5.545270674,"PRDM14","Up"
"59","NEFL",8.030992864,2.89e-97,2.89e-97,8.030992864,"NEFL","Up"
"60","ELAVL3",8.007611382,4.51e-97,4.51e-97,8.007611382,"ELAVL3","Up"
